deal_value,days_since_created,stage_encoded,num_interactions,days_until_expected_close,closure_score,is_closed
14427.05,3,2,8,114,20.7,0
152027.64,12,3,21,20,50.4,1
48814.31,44,2,22,103,23.5,0
84062.1,73,1,16,30,6.1,0
6056.79,86,2,17,158,5.0,0
139381.45,42,4,7,30,36.4,0
26065.5,84,1,12,164,5.0,0
96467.86,96,1,19,125,5.0,0
37759.06,56,2,19,30,24.2,1
21284.23,20,3,22,30,48.0,0
109598.68,102,0,22,87,5.0,0
30674.13,106,1,4,-26,5.0,0
59492.51,57,2,10,108,7.1,0
113569.77,19,0,19,177,5.0,0
15959.12,60,4,12,-7,39.7,1
12850.55,16,3,12,30,39.2,1
30815.03,65,0,11,88,5.0,0
78776.67,54,4,22,20,48.8,1
40277.8,88,1,17,58,5.0,0
64603.12,62,2,5,171,5.0,0
26580.01,83,1,21,52,5.9,0
68301.92,81,2,15,68,8.9,0
3191.38,70,1,13,3,6.7,0
44328.99,114,0,12,40,5.0,1
190845.69,115,2,2,106,5.0,0
32233.46,19,2,23,46,37.7,1
409430.81,106,4,24,145,22.7,0
40890.06,44,2,10,-22,24.0,0
13917.74,35,0,5,140,5.0,0
70608.69,22,2,21,-5,39.9,1
29996.27,9,2,2,-13,25.6,0
94110.18,72,3,5,-28,21.2,1
5950.61,8,4,15,88,48.8,1
105115.88,105,2,4,26,5.0,0
119805.0,36,0,9,135,5.0,0
27706.28,6,4,21,0,64.2,1
25101.59,86,2,10,12,8.0,0
429930.82,4,1,13,30,23.8,0
33449.45,102,3,13,30,14.4,0
7054.76,50,4,12,30,39.0,0
63700.07,49,2,11,128,8.5,0
115396.04,34,0,10,30,5.0,0
51420.92,59,4,16,95,33.8,0
70956.29,6,4,3,-15,47.7,0
23565.85,33,4,10,46,40.5,0
28535.54,82,4,10,-12,31.6,0
131244.93,44,4,6,19,35.9,1
47760.51,13,0,16,86,8.5,0
196650.64,95,2,21,159,5.0,0
21061.48,51,0,23,23,10.4,0
54594.09,91,3,15,9,21.8,0
106328.65,3,4,10,100,44.1,0
179490.9,55,0,10,134,5.0,0
29105.9,91,1,11,110,5.0,0
87060.46,27,2,13,16,28.3,1
102464.35,106,1,16,30,5.0,0
108668.0,80,4,20,55,35.5,1
88453.18,89,1,22,60,5.0,0
57195.85,111,3,15,-19,18.6,0
12701.53,100,3,5,78,5.0,0
27315.97,67,2,0,117,5.0,0
110419.6,15,4,10,77,42.8,0
230846.54,85,1,21,30,7.5,0
204458.36,18,0,12,49,6.7,0
223918.57,57,4,15,59,37.0,0
90012.42,109,3,19,72,14.1,0
10507.27,97,4,2,30,14.9,0
35416.43,14,2,14,118,23.0,0
49427.3,55,2,5,63,7.2,0
26379.68,101,4,21,89,26.8,0
828979.18,15,1,11,32,18.3,1
100353.99,22,2,17,69,28.5,1
121937.04,104,0,24,14,5.0,0
16512.92,80,3,0,101,5.0,0
25046.07,33,0,1,149,5.0,0
30308.46,62,0,17,64,5.0,0
78890.91,90,0,7,25,5.0,0
57273.78,109,3,19,30,18.3,1
26852.53,68,4,18,116,31.0,0
86194.93,31,2,8,141,9.6,0
18871.81,97,2,4,-29,5.0,0
58108.74,31,4,18,30,50.7,1
17800.03,21,1,4,140,5.0,0
37673.68,96,2,7,83,5.0,0
36242.07,44,3,16,30,34.8,0
4608.17,79,3,2,130,5.0,0
90249.12,53,3,16,30,32.1,0
67470.3,6,2,10,30,30.2,1
68085.83,73,1,8,83,5.0,0
110055.7,101,1,13,72,5.0,0
35300.06,70,1,14,138,5.0,0
272483.26,115,0,17,138,5.0,0
24008.05,110,2,4,57,5.0,0
15516.04,59,3,13,-11,31.4,0
42595.81,12,1,4,108,5.0,0
19068.9,74,1,17,90,5.0,0
47681.47,82,0,15,71,5.0,0
205160.13,17,1,2,30,8.9,0
31343.94,64,2,20,87,17.1,0
113066.1,8,3,8,27,37.9,0
140025.87,23,4,4,59,36.2,0
28123.7,75,1,21,7,12.8,0
23837.79,10,3,6,147,23.3,0
36572.57,41,4,8,20,38.7,1
32154.61,62,2,10,96,6.8,0
333576.68,50,2,16,19,24.1,0
28569.45,33,4,24,30,56.1,1
26175.43,62,1,2,30,5.0,0
121058.72,61,3,14,30,27.7,0
93021.7,52,2,2,132,5.0,0
101430.95,54,4,13,163,25.5,0
99255.26,74,4,0,59,16.9,0
150359.61,105,4,9,152,7.3,0
14665.99,34,1,21,-25,28.3,0
23331.39,2,1,21,55,29.9,0
17125.56,85,2,4,72,5.0,0
152322.58,41,1,24,6,26.1,1
41109.86,60,0,21,35,5.0,0
15304.99,100,2,21,-1,16.1,0
54548.77,91,2,22,5,19.2,0
185795.7,24,1,16,-3,24.1,1
24420.97,109,2,10,30,5.0,0
20027.66,5,2,2,163,9.2,0
98137.49,45,4,18,-10,50.5,0
135499.0,61,1,3,62,5.0,0
100824.25,3,1,24,47,33.4,0
137979.12,75,3,12,46,19.9,1
22297.76,16,1,16,163,9.9,0
50103.97,29,0,8,137,5.0,0
37476.45,4,4,19,70,55.8,0
30831.13,95,0,19,159,5.0,0
78901.09,69,0,17,77,5.0,0
20508.5,62,1,5,-9,5.0,0
17656.65,67,1,9,67,5.0,0
278263.94,80,3,22,30,30.0,1
142538.58,48,1,2,146,5.0,0
47030.17,106,0,4,143,5.0,0
349365.21,59,3,16,156,17.7,1
31573.52,105,1,12,30,5.0,0
87464.07,57,3,16,174,16.5,0
12721.32,45,1,11,30,9.5,1
19834.76,115,4,16,22,24.3,0
76010.23,89,3,2,30,7.3,0
28357.8,10,0,18,107,9.3,0
43507.37,3,1,1,5,14.6,0
62604.38,39,4,21,25,51.8,1
33041.74,62,0,19,111,5.0,0
25293.89,63,1,12,30,5.1,0
21167.06,96,1,20,41,5.0,1
26560.95,74,4,12,62,28.6,0
19946.12,98,1,12,30,5.0,0
53430.01,97,1,14,63,5.0,0
79694.32,33,2,19,156,18.5,0
18965.18,23,0,9,89,5.0,0
31930.38,116,3,24,30,21.2,0
37077.74,57,0,11,113,5.0,0
76832.45,4,2,12,30,32.8,0
54246.18,16,2,23,105,32.7,0
1182.63,55,4,17,95,36.0,1
17466.66,1,3,21,142,41.5,0
74013.42,11,3,11,42,38.5,0
30039.07,5,3,7,173,23.2,0
45853.71,94,3,16,66,16.2,0
40766.69,17,1,7,85,8.4,0
81067.94,13,3,24,101,45.0,1
155018.67,102,2,6,33,5.0,0
38876.82,38,1,3,30,5.0,0
20667.89,105,3,20,59,17.6,0
93542.83,59,1,17,150,5.0,0
12364.64,91,2,6,98,5.0,0
46514.05,83,2,11,26,8.5,0
517300.56,58,2,21,63,22.3,0
154398.17,24,1,16,22,21.6,0
70583.77,118,4,12,76,14.0,0
98816.61,110,4,6,30,15.0,0
79470.24,64,2,19,115,13.3,1
11244.43,69,3,2,93,7.0,0
34973.41,119,3,0,122,5.0,0
21156.72,79,4,18,30,36.3,0
14139.6,19,2,23,9,41.4,0
104822.65,64,2,9,55,9.3,0
76794.78,107,4,24,54,31.5,1
10308.88,65,4,19,129,31.6,0
479388.38,111,3,18,27,17.0,0
63159.75,40,3,1,64,17.6,1
19550.28,1,0,11,105,5.2,0
11901.31,7,4,19,-12,63.1,1
203119.86,70,4,10,30,31.0,1
32889.05,106,2,16,-3,9.5,0
42619.97,102,1,1,30,5.0,0
47651.42,3,3,4,30,35.1,1
53756.45,80,0,24,45,5.0,0
29099.23,6,1,0,-19,15.1,0
103460.32,20,1,5,30,11.0,0
17496.52,60,3,13,92,20.8,0
57873.19,17,1,12,-11,23.0,0
115347.36,71,2,5,116,5.0,0
31544.18,26,4,11,112,37.0,1
117292.82,89,3,8,30,13.3,0
38538.83,95,2,18,64,8.1,0
24416.81,72,3,10,151,8.3,0
19859.75,95,3,1,116,5.0,0
94161.64,52,3,18,30,34.4,0
7031.54,45,1,10,30,8.5,0
339548.68,60,4,17,78,36.2,0
21200.87,48,2,20,30,27.6,1
64876.68,110,4,8,151,5.0,0
48710.7,81,4,23,45,39.2,1
26017.48,12,0,1,90,5.0,0
9617.76,79,4,13,172,17.1,0
11254.77,117,4,8,30,14.9,0
39704.11,5,3,12,30,42.5,1
63870.5,46,0,5,125,5.0,0
72356.32,8,0,24,177,8.9,1
543264.89,16,0,11,-17,12.9,0
20277.57,35,0,2,70,5.0,0
74003.23,12,1,14,144,11.0,0
114937.84,104,3,0,31,5.0,0
64067.45,6,4,12,33,51.9,1
186542.9,48,4,24,113,43.3,0
320311.57,104,3,19,165,6.3,0
43839.74,40,0,8,130,5.0,0
27739.62,22,1,5,50,8.4,0
180445.14,11,0,17,37,15.0,0
7542.94,103,3,7,-11,12.2,0
32270.62,30,1,24,88,21.2,0
252472.06,8,0,9,147,5.0,0
93606.2,94,1,13,30,5.0,0
73357.92,110,1,16,117,5.0,0
27272.9,96,3,8,143,5.0,0
51968.32,4,3,7,112,29.6,0
272020.05,101,0,16,87,5.0,0
105155.7,29,4,23,28,56.5,0
46628.99,18,4,15,54,49.2,1
7351.18,9,1,2,151,5.0,0
450618.44,84,2,7,30,5.0,0
31710.47,64,3,23,21,36.7,1
450569.35,89,1,15,-13,5.0,0
147227.33,72,0,5,137,5.0,0
127820.17,87,0,21,-11,5.0,0
23074.95,118,4,18,105,17.1,0
39810.08,9,3,14,-6,46.9,1
11740.19,4,4,0,60,37.8,1
21485.96,49,2,4,65,7.8,0
97257.04,112,0,18,145,5.0,0
50538.55,48,0,8,30,5.0,0
65991.15,17,4,18,107,47.2,1
124164.87,77,2,2,15,5.0,0
31307.41,22,2,1,107,8.7,0
33871.6,21,1,0,-13,10.0,0
8433.14,87,3,10,135,5.4,0
19447.31,43,0,7,112,5.0,0
9330.95,2,0,5,154,5.0,0
84903.33,85,3,8,144,5.0,0
485846.12,71,2,23,30,23.7,0
84320.41,105,2,16,60,5.0,1
118006.46,8,2,1,175,6.1,0
134536.99,88,2,6,120,5.0,0
37351.45,97,1,13,161,5.0,0
15703.93,46,4,8,35,35.7,0
45168.49,29,1,6,41,8.2,0
71164.86,61,0,12,30,5.0,0
181752.92,47,3,12,46,28.3,0
142976.6,28,2,6,158,6.8,0
158535.14,105,0,9,30,5.0,0
127968.61,53,1,21,139,6.2,0
72985.91,117,3,17,30,13.9,0
34826.58,66,3,8,-25,25.7,0
62223.27,53,1,8,171,5.0,0
11340.66,28,0,11,179,5.0,0
174098.04,104,3,20,0,23.8,0
57470.54,27,0,3,134,5.0,0
145119.42,91,4,15,30,29.7,0
85181.22,73,1,10,30,5.0,0
616045.27,103,1,17,65,5.0,0
142096.9,24,4,10,172,30.6,0
6502.45,38,2,17,179,12.7,0
125463.04,7,0,22,131,11.8,0
124348.09,97,2,8,104,5.0,0
16697.1,48,3,3,30,20.6,0
474723.09,44,2,14,127,13.1,0
148199.69,78,4,18,85,31.1,0
526301.3,79,2,23,30,21.3,1
24395.75,64,3,16,22,29.6,0
95482.74,2,0,9,30,10.4,0
336282.68,16,0,10,116,5.0,0
53309.44,1,3,0,139,20.8,0
46956.21,65,1,4,30,5.0,0
57391.85,60,4,10,120,25.0,1
12656.84,68,1,21,8,14.8,0
64928.84,108,2,22,-30,17.6,0
46335.91,67,4,8,31,29.8,0
9969.22,113,1,12,96,5.0,0
7025.98,23,0,3,30,5.0,0
77332.05,83,3,24,116,22.5,1
340975.64,112,3,7,30,5.4,0
27333.52,75,4,5,119,15.6,0
529908.99,21,0,7,112,5.0,0
40162.34,110,2,21,-25,15.5,0
25248.33,7,3,22,8,54.1,1
10990.33,22,3,19,-2,47.6,0
60030.3,14,0,15,1,15.7,0
198479.43,17,0,13,12,11.7,0
6716.15,106,3,20,171,6.1,0
196675.27,90,1,6,68,5.0,1
50233.19,58,4,17,30,41.6,1
29517.48,88,4,12,26,28.0,1
15945.07,106,3,10,-22,15.4,0
54883.29,115,0,3,155,5.0,1
110678.97,60,2,19,105,15.5,0
170400.12,58,3,13,80,22.6,0
68156.52,114,0,2,-11,5.0,0
37664.29,34,0,22,30,13.8,0
55106.98,3,0,6,172,5.0,0
59746.96,101,3,16,-12,21.9,0
95969.18,59,0,1,-2,5.0,0
11180.44,96,1,14,30,5.0,0
61252.27,45,3,0,21,19.4,0
47087.64,118,4,11,157,5.0,0
22915.38,99,0,12,-24,5.0,0
17564.92,67,2,19,30,20.9,0
228147.81,50,0,23,79,5.1,0
52622.61,7,3,3,-4,36.3,0
24727.32,94,2,18,160,5.0,0
90031.61,78,0,11,38,5.0,0
75409.86,112,1,19,64,5.0,0
12711.39,8,0,20,30,19.6,0
56103.19,116,2,0,130,5.0,0
153032.59,67,2,3,-6,8.5,0
28688.58,51,3,5,0,24.7,0
22228.36,86,4,14,30,30.2,0
27323.06,22,0,23,112,10.2,0
160304.23,61,4,16,67,36.0,0
30489.21,25,4,13,45,46.0,0
96910.49,113,2,14,42,5.0,0
139259.96,70,4,22,121,33.9,1
132561.39,13,4,8,51,44.0,1
99088.18,4,2,7,30,27.8,0
19785.76,37,0,22,30,12.9,1
92055.02,79,2,18,30,16.3,1
28540.14,26,3,12,-29,42.1,0
17822.39,109,0,24,103,5.0,1
163769.61,4,3,8,-10,42.8,0
39717.07,57,1,23,125,8.4,0
9840.21,106,4,7,65,13.7,0
119047.63,53,1,5,15,5.0,0
89061.5,112,2,15,150,5.0,0
27903.29,38,0,8,170,5.0,1
34572.51,24,1,7,-8,15.6,0
18207.42,20,0,19,151,5.0,0
226587.58,84,1,1,-10,5.0,0
55939.1,72,4,6,128,16.6,0
243974.02,32,2,23,30,35.4,0
104699.69,114,3,15,157,5.0,0
23155.41,49,3,7,158,11.5,0
17686.4,57,2,7,167,5.0,0
55654.58,43,4,11,3,42.8,0
102437.49,5,0,23,84,18.1,0
9006.41,39,0,8,30,5.0,0
118184.18,11,3,10,30,38.7,1
160048.19,32,3,3,30,25.4,1
277209.74,103,2,8,-28,5.0,0
172695.18,54,2,21,48,25.0,0
16371.12,43,0,1,21,5.0,0
96612.18,36,1,2,61,5.0,0
22681.92,4,2,17,30,37.8,0
99528.59,114,2,21,16,10.2,1
90370.32,106,3,23,30,23.2,0
23655.58,113,0,14,13,5.0,0
5577.46,97,1,14,70,5.0,0
39884.71,38,2,19,110,21.6,0
37087.14,64,2,23,-18,30.6,1
32934.68,23,2,18,11,35.0,0
222014.88,34,2,12,14,25.4,1
7814.22,103,2,7,90,5.0,0
29897.5,105,3,11,30,11.5,0
243565.5,57,4,3,80,22.9,0
66209.68,110,0,11,30,5.0,0
21500.26,100,3,16,-16,22.6,0
73297.95,30,3,11,143,22.7,0
147757.0,90,3,9,5,16.5,0
49604.28,33,3,15,-16,41.7,0
29115.44,79,3,5,137,5.0,0
58487.22,54,3,2,113,9.5,0
35529.82,117,1,1,44,5.0,0
24766.04,59,1,13,101,5.0,0
3718.4,97,2,1,105,5.0,0
6171.3,44,4,21,-24,55.2,1
59164.36,32,3,22,30,44.4,0
174405.18,101,0,15,174,5.0,1
167046.52,40,0,22,30,12.0,0
31707.78,73,1,23,30,13.1,0
34123.15,81,4,16,128,23.9,0
10342.48,86,4,4,49,18.3,0
19967.37,75,4,10,55,27.0,0
2840.87,24,1,16,101,13.7,1
15873.45,38,0,17,95,5.0,1
10865.26,86,2,19,30,15.2,0
183765.2,98,2,1,32,5.0,0
17936.2,54,4,17,13,44.5,1
58509.67,35,0,7,152,5.0,0
72070.46,59,2,20,66,20.7,0
2066.59,67,2,16,61,14.8,0
34186.36,101,0,19,170,5.0,0
9678.6,22,4,12,157,34.7,0
15068.38,47,3,14,148,20.1,0
59169.14,59,0,6,30,5.0,0
10178.34,56,3,17,76,27.6,0
47676.21,82,3,21,92,22.2,0
73993.78,27,0,7,16,5.0,0
18253.73,115,1,4,176,5.0,1
42711.01,86,1,23,59,6.3,0
68020.53,25,2,20,-28,40.3,1
502430.3,5,1,5,118,6.7,0
71006.12,64,4,14,30,36.8,0
41011.44,47,3,14,5,34.4,0
188880.2,109,0,21,30,5.0,0
7725.63,119,2,3,68,5.0,0
7447.72,65,0,5,30,5.0,0
23212.79,56,4,18,30,43.2,0
120326.19,59,2,0,50,5.0,0
54051.56,77,1,8,126,5.0,0
6856.43,103,4,20,67,27.4,0
27048.33,48,0,17,65,5.0,0
54839.29,12,0,8,140,5.0,0
208694.73,70,2,15,158,5.0,0
26614.12,114,3,14,30,11.8,1
23187.6,1,4,14,128,45.9,0
14132.4,58,2,10,-10,18.6,0
73107.66,23,0,5,62,5.0,0
68365.2,53,3,11,120,18.1,1
63759.53,52,1,9,132,5.0,0
27849.7,108,1,7,35,5.0,0
7365.31,21,2,0,30,15.7,0
7689.06,41,0,9,146,5.0,1
71945.72,99,3,6,30,8.3,0
24475.7,83,0,11,79,5.0,0
